month,department,revenue,expenses,net_profit,profit_margin,budget,operating_costs,headcount,quarter
2023-05-01,Marketing,241000,197000,44000,18.26,230000,158000,30,Q2 2023
2023-05-01,Operations,196000,167000,29000,14.80,180000,138000,36,Q2 2023
2023-05-01,Finance,158000,107000,51000,32.28,145000,79000,19,Q2 2023
2023-05-01,HR,103000,89000,14000,13.59,102000,71000,13,Q2 2023
2023-06-01,Sales,545000,344000,201000,36.88,500000,218000,48,Q2 2023
2023-06-01,Engineering,355000,315000,40000,11.27,320000,266000,65,Q2 2023
2023-06-01,Marketing,248000,203000,45000,18.15,230000,162000,30,Q2 2023
2023-06-01,Operations,199000,170000,29000,14.57,180000,140000,37,Q2 2023
2023-06-01,Finance,161000,109000,52000,32.30,145000,80000,19,Q2 2023
2023-06-01,HR,105000,91000,14000,13.33,102000,72000,13,Q2 2023
2023-07-01,Sales,558000,349000,209000,37.46,520000,221000,48,Q3 2023
2023-07-01,Engineering,362000,319000,43000,11.88,330000,270000,66,Q3 2023
2023-07-01,Marketing,253000,207000,46000,18.18,240000,165000,30,Q3 2023
2023-07-01,Operations,203000,173000,30000,14.78,185000,142000,37,Q3 2023
2023-07-01,Finance,164000,111000,53000,32.32,148000,82000,19,Q3 2023
2023-07-01,HR,107000,92000,15000,14.02,105000,73000,13,Q3 2023
2023-08-01,Sales,572000,355000,217000,37.94,520000,225000,49,Q3 2023
2023-08-01,Engineering,370000,325000,45000,12.16,330000,275000,67,Q3 2023
2023-08-01,Marketing,259000,212000,47000,18.15,240000,169000,31,Q3 2023
2023-08-01,Operations,207000,176000,31000,14.98,185000,145000,37,Q3 2023
2023-08-01,Finance,167000,113000,54000,32.34,148000,83000,20,Q3 2023
2023-08-01,HR,109000,94000,15000,13.76,105000,75000,13,Q3 2023
2023-09-01,Sales,585000,362000,223000,38.12,520000,229000,49,Q3 2023
2023-09-01,Engineering,378000,330000,48000,12.70,330000,279000,67,Q3 2023
2023-09-01,Marketing,265000,217000,48000,18.11,240000,173000,31,Q3 2023
2023-09-01,Operations,211000,179000,32000,15.17,185000,147000,38,Q3 2023
2023-09-01,Finance,170000,115000,55000,32.35,148000,85000,20,Q3 2023
2023-09-01,HR,111000,96000,15000,13.51,105000,76000,14,Q3 2023
2023-10-01,Sales,598000,368000,230000,38.46,540000,233000,50,Q4 2023
2023-10-01,Engineering,385000,336000,49000,12.73,340000,284000,68,Q4 2023
2023-10-01,Marketing,272000,222000,50000,18.38,250000,177000,31,Q4 2023
2023-10-01,Operations,215000,182000,33000,15.35,190000,150000,38,Q4 2023
2023-10-01,Finance,173000,117000,56000,32.37,150000,86000,20,Q4 2023
2023-10-01,HR,113000,97000,16000,14.16,108000,77000,14,Q4 2023
2023-11-01,Sales,625000,379000,246000,39.36,540000,240000,51,Q4 2023
2023-11-01,Engineering,395000,342000,53000,13.42,340000,289000,69,Q4 2023
2023-11-01,Marketing,282000,229000,53000,18.79,250000,183000,32,Q4 2023
2023-11-01,Operations,220000,186000,34000,15.45,190000,153000,39,Q4 2023
2023-11-01,Finance,178000,120000,58000,32.58,150000,88000,20,Q4 2023
2023-11-01,HR,116000,99000,17000,14.66,108000,79000,14,Q4 2023
2023-12-01,Sales,652000,389000,263000,40.34,540000,246000,52,Q4 2023
2023-12-01,Engineering,405000,349000,56000,13.83,340000,295000,70,Q4 2023
2023-12-01,Marketing,290000,235000,55000,18.97,250000,188000,32,Q4 2023
2023-12-01,Operations,225000,189000,36000,16.00,190000,156000,39,Q4 2023
2023-12-01,Finance,182000,122000,60000,32.97,150000,90000,21,Q4 2023
2023-12-01,HR,119000,101000,18000,15.13,108000,80000,15,Q4 2023
2024-01-01,Sales,645000,392000,253000,39.22,560000,248000,52,Q1 2024
2024-01-01,Engineering,412000,354000,58000,14.08,350000,299000,71,Q1 2024
2024-01-01,Marketing,295000,239000,56000,18.98,260000,191000,33,Q1 2024
2024-01-01,Operations,228000,192000,36000,15.79,195000,158000,39,Q1 2024
2024-01-01,Finance,185000,124000,61000,32.97,155000,91000,21,Q1 2024
2024-01-01,HR,121000,103000,18000,14.88,110000,82000,15,Q1 2024
2024-02-01,Sales,658000,398000,260000,39.51,560000,252000,53,Q1 2024
2024-02-01,Engineering,420000,360000,60000,14.29,350000,304000,72,Q1 2024
2024-02-01,Marketing,302000,244000,58000,19.21,260000,195000,33,Q1 2024
2024-02-01,Operations,232000,195000,37000,15.95,195000,161000,40,Q1 2024
2024-02-01,Finance,188000,126000,62000,32.98,155000,93000,21,Q1 2024
2024-02-01,HR,123000,105000,18000,14.63,110000,83000,15,Q1 2024
2024-03-01,Sales,672000,405000,267000,39.73,560000,257000,53,Q1 2024
2024-03-01,Engineering,428000,365000,63000,14.72,350000,309000,72,Q1 2024
2024-03-01,Marketing,308000,249000,59000,19.16,260000,199000,34,Q1 2024
2024-03-01,Operations,236000,198000,38000,16.10,195000,163000,40,Q1 2024
2024-03-01,Finance,191000,128000,63000,32.98,155000,94000,22,Q1 2024
2024-03-01,HR,125000,106000,19000,15.20,110000,84000,15,Q1 2024
2024-04-01,Sales,689000,412000,277000,40.20,580000,261000,54,Q2 2024
2024-04-01,Engineering,435000,371000,64000,14.71,360000,314000,73,Q2 2024
2024-04-01,Marketing,315000,254000,61000,19.37,270000,203000,34,Q2 2024
2024-04-01,Operations,240000,201000,39000,16.25,200000,166000,40,Q2 2024
2024-04-01,Finance,195000,131000,64000,32.82,158000,96000,22,Q2 2024
2024-04-01,HR,128000,108000,20000,15.63,112000,86000,16,Q2 2024
2024-05-01,Sales,705000,419000,286000,40.57,580000,266000,54,Q2 2024
2024-05-01,Engineering,445000,378000,67000,15.06,360000,320000,74,Q2 2024
2024-05-01,Marketing,322000,259000,63000,19.57,270000,207000,34,Q2 2024
2024-05-01,Operations,245000,204000,41000,16.73,200000,168000,41,Q2 2024
2024-05-01,Finance,198000,133000,65000,32.83,158000,98000,22,Q2 2024
2024-05-01,HR,130000,110000,20000,15.38,112000,87000,16,Q2 2024
2024-06-01,Sales,718000,425000,293000,40.81,580000,270000,55,Q2 2024
2024-06-01,Engineering,452000,384000,68000,15.04,360000,325000,74,Q2 2024
2024-06-01,Marketing,329000,264000,65000,19.76,270000,211000,35,Q2 2024
2024-06-01,Operations,249000,207000,42000,16.87,200000,171000,41,Q2 2024
2024-06-01,Finance,202000,135000,67000,33.17,158000,99000,22,Q2 2024
2024-06-01,HR,132000,112000,20000,15.15,112000,89000,16,Q2 2024
2024-07-01,Sales,735000,432000,303000,41.22,600000,274000,56,Q3 2024
2024-07-01,Engineering,462000,390000,72000,15.58,370000,330000,75,Q3 2024
2024-07-01,Marketing,336000,269000,67000,19.94,280000,215000,35,Q3 2024
2024-07-01,Operations,253000,210000,43000,17.00,205000,173000,41,Q3 2024
2024-07-01,Finance,205000,137000,68000,33.17,160000,101000,23,Q3 2024
2024-07-01,HR,135000,114000,21000,15.56,115000,90000,16,Q3 2024
2024-08-01,Sales,752000,439000,313000,41.62,600000,279000,56,Q3 2024
2024-08-01,Engineering,470000,396000,74000,15.74,370000,335000,76,Q3 2024
2024-08-01,Marketing,342000,274000,68000,19.88,280000,219000,35,Q3 2024
2024-08-01,Operations,258000,213000,45000,17.44,205000,176000,42,Q3 2024
2024-08-01,Finance,209000,139000,70000,33.49,160000,102000,23,Q3 2024
2024-08-01,HR,137000,116000,21000,15.33,115000,92000,17,Q3 2024
2024-09-01,Sales,768000,445000,323000,42.06,600000,283000,57,Q3 2024
2024-09-01,Engineering,479000,402000,77000,16.08,370000,340000,76,Q3 2024
2024-09-01,Marketing,349000,279000,70000,20.06,280000,223000,36,Q3 2024
2024-09-01,Operations,262000,216000,46000,17.56,205000,178000,42,Q3 2024
2024-09-01,Finance,212000,141000,71000,33.49,160000,104000,23,Q3 2024
2024-09-01,HR,139000,117000,22000,15.83,115000,93000,17,Q3 2024
2024-10-01,Sales,785000,452000,333000,42.42,620000,287000,57,Q4 2024
2024-10-01,Engineering,489000,409000,80000,16.36,380000,346000,77,Q4 2024
2024-10-01,Marketing,356000,284000,72000,20.22,290000,227000,36,Q4 2024
2024-10-01,Operations,267000,219000,48000,17.98,210000,181000,42,Q4 2024
2024-10-01,Finance,216000,143000,73000,33.80,163000,105000,23,Q4 2024
2024-10-01,HR,142000,119000,23000,16.20,118000,95000,17,Q4 2024
2024-11-01,Sales,812000,462000,350000,43.10,620000,293000,58,Q4 2024
2024-11-01,Engineering,499000,415000,84000,16.83,380000,351000,78,Q4 2024
2024-11-01,Marketing,365000,290000,75000,20.55,290000,232000,37,Q4 2024
2024-11-01,Operations,272000,223000,49000,18.01,210000,184000,43,Q4 2024
2024-11-01,Finance,220000,146000,74000,33.64,163000,107000,24,Q4 2024
2024-11-01,HR,145000,121000,24000,16.55,118000,96000,17,Q4 2024
2024-12-01,Sales,842000,475000,367000,43.59,620000,301000,59,Q4 2024
2024-12-01,Engineering,510000,422000,88000,17.25,380000,357000,79,Q4 2024
2024-12-01,Marketing,375000,296000,79000,21.07,290000,237000,37,Q4 2024
2024-12-01,Operations,278000,226000,52000,18.71,210000,187000,43,Q4 2024
2024-12-01,Finance,225000,148000,77000,34.22,163000,109000,24,Q4 2024
2024-12-01,HR,148000,123000,25000,16.89,118000,98000,18,Q4 2024
2025-01-01,Sales,835000,478000,357000,42.75,650000,303000,59,Q1 2025
2025-01-01,Engineering,518000,428000,90000,17.37,390000,362000,80,Q1 2025
2025-01-01,Marketing,380000,301000,79000,20.79,300000,241000,37,Q1 2025
2025-01-01,Operations,282000,229000,53000,18.79,215000,189000,43,Q1 2025
2025-01-01,Finance,228000,150000,78000,34.21,165000,110000,24,Q1 2025
2025-01-01,HR,150000,125000,25000,16.67,120000,99000,18,Q1 2025
2025-02-01,Sales,852000,485000,367000,43.08,650000,308000,60,Q1 2025
2025-02-01,Engineering,526000,434000,92000,17.49,390000,367000,80,Q1 2025
2025-02-01,Marketing,388000,306000,82000,21.13,300000,245000,38,Q1 2025
2025-02-01,Operations,286000,232000,54000,18.88,215000,191000,44,Q1 2025
2025-02-01,Finance,232000,152000,80000,34.48,165000,112000,24,Q1 2025
2025-02-01,HR,153000,127000,26000,16.99,120000,101000,18,Q1 2025
2025-03-01,Sales,870000,492000,378000,43.45,650000,312000,60,Q1 2025
2025-03-01,Engineering,535000,440000,95000,17.76,390000,372000,81,Q1 2025
2025-03-01,Marketing,395000,311000,84000,21.27,300000,249000,38,Q1 2025
2025-03-01,Operations,290000,235000,55000,18.97,215000,194000,44,Q1 2025
2025-03-01,Finance,235000,154000,81000,34.47,165000,113000,25,Q1 2025
2025-03-01,HR,155000,129000,26000,16.77,120000,102000,18,Q1 2025
2025-04-01,Sales,889000,498000,391000,43.98,670000,316000,61,Q2 2025
2025-04-01,Engineering,545000,447000,98000,17.98,400000,378000,82,Q2 2025
2025-04-01,Marketing,402000,316000,86000,21.39,310000,253000,38,Q2 2025
2025-04-01,Operations,295000,238000,57000,19.32,220000,196000,44,Q2 2025
2025-04-01,Finance,239000,156000,83000,34.73,168000,115000,25,Q2 2025
2025-04-01,HR,158000,131000,27000,17.09,122000,104000,19,Q2 2025
2025-05-01,Sales,908000,505000,403000,44.38,670000,321000,61,Q2 2025
2025-05-01,Engineering,555000,454000,101000,18.20,400000,384000,83,Q2 2025
2025-05-01,Marketing,410000,322000,88000,21.46,310000,258000,39,Q2 2025
2025-05-01,Operations,300000,241000,59000,19.67,220000,199000,45,Q2 2025
2025-05-01,Finance,242000,158000,84000,34.71,168000,116000,25,Q2 2025
2025-05-01,HR,160000,133000,27000,16.88,122000,105000,19,Q2 2025
2025-06-01,Sales,925000,512000,413000,44.65,670000,325000,62,Q2 2025
2025-06-01,Engineering,565000,460000,105000,18.58,400000,389000,83,Q2 2025
2025-06-01,Marketing,418000,327000,91000,21.77,310000,262000,39,Q2 2025
2025-06-01,Operations,305000,244000,61000,20.00,220000,201000,45,Q2 2025
2025-06-01,Finance,246000,160000,86000,34.96,168000,118000,25,Q2 2025
2025-06-01,HR,163000,135000,28000,17.18,122000,107000,19,Q2 2025
2025-07-01,Sales,945000,519000,426000,45.08,700000,330000,62,Q3 2025
2025-07-01,Engineering,575000,467000,108000,18.78,410000,395000,84,Q3 2025
2025-07-01,Marketing,425000,332000,93000,21.88,320000,266000,39,Q3 2025
2025-07-01,Operations,310000,247000,63000,20.32,225000,204000,45,Q3 2025
2025-07-01,Finance,250000,162000,88000,35.20,170000,119000,26,Q3 2025
2025-07-01,HR,166000,137000,29000,17.47,125000,109000,19,Q3 2025
2025-08-01,Sales,965000,526000,439000,45.49,700000,334000,63,Q3 2025
2025-08-01,Engineering,586000,474000,112000,19.11,410000,401000,85,Q3 2025
2025-08-01,Marketing,432000,337000,95000,21.99,320000,270000,40,Q3 2025
2025-08-01,Operations,315000,250000,65000,20.63,225000,206000,46,Q3 2025
2025-08-01,Finance,254000,164000,90000,35.43,170000,121000,26,Q3 2025
2025-08-01,HR,169000,139000,30000,17.75,125000,110000,20,Q3 2025
2025-09-01,Sales,985000,532000,453000,45.99,700000,338000,63,Q3 2025
2025-09-01,Engineering,596000,480000,116000,19.46,410000,406000,85,Q3 2025
2025-09-01,Marketing,440000,343000,97000,22.05,320000,275000,40,Q3 2025
2025-09-01,Operations,320000,253000,67000,20.94,225000,209000,46,Q3 2025
2025-09-01,Finance,258000,166000,92000,35.66,170000,122000,26,Q3 2025
2025-09-01,HR,172000,141000,31000,18.02,125000,112000,20,Q3 2025
2025-10-01,Sales,1005000,539000,466000,46.37,720000,342000,64,Q4 2025
2025-10-01,Engineering,608000,487000,121000,19.90,420000,412000,86,Q4 2025
2025-10-01,Marketing,448000,348000,100000,22.32,330000,279000,40,Q4 2025
2025-10-01,Operations,325000,256000,69000,21.23,230000,211000,46,Q4 2025
2025-10-01,Finance,262000,168000,94000,35.88,173000,124000,26,Q4 2025
2025-10-01,HR,175000,143000,32000,18.29,128000,114000,20,Q4 2025
2025-11-01,Sales,1035000,549000,486000,46.96,720000,349000,65,Q4 2025
2025-11-01,Engineering,620000,495000,125000,20.16,420000,419000,87,Q4 2025
2025-11-01,Marketing,458000,355000,103000,22.49,330000,284000,41,Q4 2025
2025-11-01,Operations,332000,260000,72000,21.69,230000,214000,47,Q4 2025
2025-11-01,Finance,268000,171000,97000,36.19,173000,126000,27,Q4 2025
2025-11-01,HR,179000,146000,33000,18.44,128000,116000,20,Q4 2025
2025-12-01,Sales,1068000,558000,510000,47.75,720000,355000,66,Q4 2025
2025-12-01,Engineering,632000,502000,130000,20.57,420000,425000,88,Q4 2025
2025-12-01,Marketing,468000,361000,107000,22.86,330000,289000,41,Q4 2025
2025-12-01,Operations,338000,264000,74000,21.89,230000,218000,47,Q4 2025
2025-12-01,Finance,272000,173000,99000,36.40,173000,127000,27,Q4 2025
2025-12-01,HR,182000,148000,34000,18.68,128000,118000,21,Q4 2025
