date,amount,category,merchant,type
2025-01-28,-9.99,Subscriptions,NYT Digital,debit
2025-01-29,-156.78,Shopping,Walmart,debit
2025-01-29,-67.89,Dining,Chick-fil-A,debit
2025-01-29,-234.56,Utilities,Waste Management,debit
2025-01-30,-89.12,Groceries,Costco,debit
2025-01-30,-45.67,Transportation,Chevron,debit
2025-01-30,600.00,Freelance,Upwork Transfer,credit
2025-01-31,-134.56,Groceries,Safeway,debit
2025-01-31,-78.90,Shopping,Home Depot,debit
2025-01-31,-56.34,Dining,Olive Garden,debit
2025-02-01,-167.89,Insurance,Allstate,debit
2025-02-01,4250.00,Salary,Employer Direct Deposit,credit
2025-02-01,-89.12,Groceries,Kroger,debit
2025-02-02,-45.67,Dining,Chipotle,debit
2025-02-02,-123.45,Shopping,Amazon,debit
2025-02-02,-34.56,Entertainment,Netflix,debit
2025-02-03,-78.90,Groceries,Aldi,debit
2025-02-03,-56.78,Transportation,Shell Gas,debit
2025-02-03,-189.12,Healthcare,CVS Pharmacy,debit
2025-02-04,-112.34,Utilities,Pacific Gas & Electric,debit
2025-02-04,-67.89,Dining,Starbucks,debit
2025-02-04,1350.00,Freelance,Client Payment,credit
2025-02-05,-145.67,Groceries,Publix,debit
2025-02-05,-89.12,Shopping,Target,debit
2025-02-05,-1850.00,Rent,Urban Living Co,debit
2025-02-06,-56.78,Transportation,Uber,debit
2025-02-06,-23.45,Subscriptions,LinkedIn Premium,debit
2025-02-06,-78.90,Dining,Five Guys,debit
2025-02-07,-134.56,Groceries,Trader Joe's,debit
2025-02-07,275.00,Investment,REIT Distribution,credit
2025-02-07,-45.67,Entertainment,Ticketmaster,debit
2025-02-08,-89.12,Shopping,IKEA,debit
2025-02-08,-167.89,Healthcare,Walgreens,debit
2025-02-08,-56.78,Dining,Panera Bread,debit
2025-02-09,-78.90,Groceries,Whole Foods,debit
2025-02-09,-34.56,Transportation,BP Station,debit
2025-02-09,5100.00,Salary,Payroll Services Inc,credit
2025-02-10,-123.45,Groceries,Costco,debit
2025-02-10,-245.67,Shopping,Best Buy,debit
2025-02-10,-67.89,Utilities,Comcast Internet,debit
2025-02-11,-89.12,Dining,Olive Garden,debit
2025-02-11,-45.67,Transportation,EV Charging Co,debit
2025-02-11,-156.78,Insurance,Liberty Mutual,debit
2025-02-12,-78.90,Groceries,Safeway,debit
2025-02-12,425.00,Freelance,Consulting Fee,credit
2025-02-12,-34.56,Entertainment,Spotify,debit
2025-02-13,-112.34,Healthcare,Kaiser Permanente,debit
2025-02-13,-67.89,Dining,Subway,debit
2025-02-13,-189.45,Shopping,Nordstrom,debit
2025-02-14,-145.67,Groceries,Kroger,debit
2025-02-14,-56.78,Transportation,Metro Transit,debit
2025-02-14,-89.12,Utilities,City Water,debit
2025-02-15,-78.90,Dining,Chipotle,debit
2025-02-15,4250.00,Salary,Employer Direct Deposit,credit
2025-02-15,-234.56,Shopping,Amazon,debit
2025-02-16,-67.89,Groceries,Aldi,debit
2025-02-16,-12.99,Subscriptions,Adobe Creative,debit
2025-02-16,-45.67,Transportation,Lyft,debit
2025-02-17,-89.12,Dining,Chick-fil-A,debit
2025-02-17,-178.90,Shopping,Walmart,debit
2025-02-17,150.00,Refund,Insurance Reimbursement,credit
2025-02-18,-134.56,Groceries,Publix,debit
2025-02-18,-56.78,Entertainment,AMC Theaters,debit
2025-02-18,-78.90,Healthcare,Quest Diagnostics,debit
2025-02-19,-167.89,Utilities,AT&T Wireless,debit
2025-02-19,-45.67,Dining,Starbucks,debit
2025-02-19,-89.12,Transportation,Shell Gas,debit
2025-02-20,-123.45,Groceries,Trader Joe's,debit
2025-02-20,-345.67,Insurance,State Farm,debit
2025-02-20,890.00,Investment,Dividend Payment,credit
2025-02-21,-78.90,Shopping,Home Depot,debit
2025-02-21,-56.34,Dining,Five Guys,debit
2025-02-21,-112.34,Groceries,Whole Foods,debit
2025-02-22,-89.12,Transportation,Uber,debit
2025-02-22,-34.56,Subscriptions,Microsoft 365,debit
2025-02-22,-1850.00,Rent,Property Management LLC,debit
2025-02-23,-67.89,Dining,Panera Bread,debit
2025-02-23,5100.00,Salary,Payroll Services Inc,credit
2025-02-23,-145.67,Shopping,Target,debit
2025-02-24,-89.12,Groceries,Costco,debit
2025-02-24,-56.78,Healthcare,CVS Pharmacy,debit
2025-02-24,-78.90,Utilities,Verizon,debit
2025-02-25,-134.56,Groceries,Safeway,debit
2025-02-25,-45.67,Dining,Olive Garden,debit
2025-02-25,1800.00,Freelance,Contract Work,credit
2025-02-26,-89.12,Transportation,BP Station,debit
2025-02-26,-167.89,Shopping,IKEA,debit
2025-02-26,-23.45,Entertainment,Steam,debit
2025-02-27,-78.90,Groceries,Kroger,debit
2025-02-27,-56.78,Dining,Subway,debit
2025-02-27,-234.56,Healthcare,Anthem Insurance,debit
2025-02-28,-112.34,Groceries,Aldi,debit
2025-02-28,-45.67,Transportation,Chevron,debit
2025-02-28,-89.12,Utilities,Waste Management,debit
2025-03-01,4250.00,Salary,Employer Direct Deposit,credit
2025-03-01,-156.78,Groceries,Publix,debit
2025-03-01,-78.90,Shopping,Amazon,debit
2025-03-02,-67.89,Dining,Chipotle,debit
2025-03-02,-34.56,Entertainment,Netflix,debit
2025-03-02,-123.45,Groceries,Trader Joe's,debit
2025-03-03,-89.12,Insurance,Geico,debit
2025-03-03,-45.67,Transportation,Shell Gas,debit
2025-03-03,650.00,Freelance,Upwork Transfer,credit
2025-03-04,-178.90,Healthcare,Walgreens,debit
2025-03-04,-56.78,Dining,Starbucks,debit
2025-03-04,-134.56,Shopping,Best Buy,debit
2025-03-05,-89.12,Groceries,Whole Foods,debit
2025-03-05,-1850.00,Rent,Greenfield Apartments,debit
2025-03-05,-67.89,Utilities,Pacific Gas & Electric,debit
2025-03-06,-45.67,Transportation,Uber,debit
2025-03-06,-78.90,Dining,Five Guys,debit
2025-03-06,425.00,Investment,Capital Gains,credit
2025-03-07,-112.34,Groceries,Costco,debit
2025-03-07,-56.78,Shopping,Walmart,debit
2025-03-07,-23.45,Subscriptions,Dropbox,debit
2025-03-08,-89.12,Healthcare,Kaiser Permanente,debit
2025-03-08,-145.67,Groceries,Safeway,debit
2025-03-08,-34.56,Entertainment,Spotify,debit
2025-03-09,-78.90,Dining,Panera Bread,debit
2025-03-09,5100.00,Salary,Payroll Services Inc,credit
2025-03-09,-167.89,Shopping,Target,debit
2025-03-10,-56.78,Transportation,Lyft,debit
2025-03-10,-89.12,Groceries,Kroger,debit
2025-03-10,-234.56,Utilities,Comcast Internet,debit
2025-03-11,-45.67,Dining,Chick-fil-A,debit
2025-03-11,-78.90,Insurance,Progressive,debit
2025-03-11,-134.56,Shopping,Nordstrom,debit
2025-03-12,-112.34,Groceries,Aldi,debit
2025-03-12,1100.00,Freelance,Client Payment,credit
2025-03-12,-67.89,Transportation,EV Charging Co,debit
2025-03-13,-89.12,Dining,Olive Garden,debit
2025-03-13,-56.78,Healthcare,CVS Pharmacy,debit
2025-03-13,-178.90,Shopping,Home Depot,debit
2025-03-14,-123.45,Groceries,Publix,debit
2025-03-14,-45.67,Entertainment,AMC Theaters,debit
2025-03-14,-89.12,Utilities,City Water,debit
2025-03-15,4250.00,Salary,Employer Direct Deposit,credit
2025-03-15,-67.89,Dining,Subway,debit
2025-03-15,-156.78,Groceries,Trader Joe's,debit
2025-03-16,-78.90,Transportation,BP Station,debit
2025-03-16,-34.56,Subscriptions,NYT Digital,debit
2025-03-16,-245.67,Shopping,IKEA,debit
2025-03-17,-89.12,Groceries,Whole Foods,debit
2025-03-17,-112.34,Healthcare,Walgreens,debit
2025-03-17,300.00,Refund,Amazon Refund,credit
2025-03-18,-56.78,Dining,Chipotle,debit
2025-03-18,-145.67,Insurance,Allstate,debit
2025-03-18,-78.90,Transportation,Metro Transit,debit
2025-03-19,-134.56,Groceries,Costco,debit
2025-03-19,-89.12,Shopping,Amazon,debit
2025-03-19,-45.67,Utilities,AT&T Wireless,debit
2025-03-20,-67.89,Dining,Starbucks,debit
2025-03-20,-178.90,Shopping,Best Buy,debit
2025-03-20,750.00,Investment,Bond Interest,credit
2025-03-21,-89.12,Groceries,Safeway,debit
2025-03-21,-56.78,Transportation,Shell Gas,debit
2025-03-21,-23.45,Entertainment,PlayStation Store,debit
2025-03-22,-112.34,Groceries,Kroger,debit
2025-03-22,-1850.00,Rent,Urban Living Co,debit
2025-03-22,-78.90,Dining,Five Guys,debit
2025-03-23,5100.00,Salary,Payroll Services Inc,credit
2025-03-23,-145.67,Shopping,Target,debit
2025-03-23,-34.56,Healthcare,Quest Diagnostics,debit
2025-03-24,-89.12,Groceries,Aldi,debit
2025-03-24,-67.89,Dining,Panera Bread,debit
2025-03-24,-156.78,Utilities,Verizon,debit
2025-03-25,-78.90,Transportation,Uber,debit
2025-03-25,-234.56,Shopping,Walmart,debit
2025-03-25,1450.00,Freelance,Consulting Fee,credit
2025-03-26,-112.34,Groceries,Publix,debit
2025-03-26,-45.67,Entertainment,Ticketmaster,debit
2025-03-26,-89.12,Dining,Olive Garden,debit
2025-03-27,-56.78,Insurance,Liberty Mutual,debit
2025-03-27,-134.56,Shopping,Nordstrom,debit
2025-03-27,-78.90,Healthcare,Anthem Insurance,debit
2025-03-28,-167.89,Groceries,Trader Joe's,debit
2025-03-28,-45.67,Transportation,Lyft,debit
2025-03-28,-89.12,Utilities,Waste Management,debit
2025-03-29,-56.78,Dining,Chick-fil-A,debit
2025-03-29,-123.45,Groceries,Whole Foods,debit
2025-03-29,200.00,Refund,Store Credit Return,credit
2025-03-30,-78.90,Shopping,Home Depot,debit
2025-03-30,-34.56,Subscriptions,Adobe Creative,debit
2025-03-30,-89.12,Transportation,Chevron,debit
2025-03-31,-145.67,Groceries,Costco,debit
2025-03-31,-67.89,Dining,Subway,debit
2025-03-31,-189.12,Healthcare,CVS Pharmacy,debit
2025-04-01,4250.00,Salary,Employer Direct Deposit,credit
2025-04-01,-89.12,Groceries,Safeway,debit
2025-04-01,-56.78,Shopping,Amazon,debit
2025-04-02,-134.56,Utilities,Pacific Gas & Electric,debit
2025-04-02,-78.90,Dining,Chipotle,debit
2025-04-02,-45.67,Entertainment,Netflix,debit
2025-04-03,-112.34,Groceries,Kroger,debit
2025-04-03,-67.89,Transportation,Shell Gas,debit
2025-04-03,925.00,Freelance,Contract Work,credit
2025-04-04,-89.12,Insurance,State Farm,debit
2025-04-04,-178.90,Shopping,IKEA,debit
2025-04-04,-56.78,Dining,Starbucks,debit
2025-04-05,-1850.00,Rent,Property Management LLC,debit
2025-04-05,-123.45,Groceries,Aldi,debit
2025-04-05,-34.56,Healthcare,Walgreens,debit
2025-04-06,-78.90,Transportation,Uber,debit
2025-04-06,-145.67,Groceries,Publix,debit
2025-04-06,550.00,Investment,Dividend Payment,credit
2025-04-07,-89.12,Dining,Five Guys,debit
2025-04-07,-234.56,Shopping,Best Buy,debit
2025-04-07,-56.78,Utilities,Comcast Internet,debit
2025-04-08,-67.89,Groceries,Trader Joe's,debit
2025-04-08,-112.34,Healthcare,Kaiser Permanente,debit
2025-04-08,-23.45,Subscriptions,Microsoft 365,debit
2025-04-09,5100.00,Salary,Payroll Services Inc,credit
2025-04-09,-89.12,Dining,Panera Bread,debit
2025-04-09,-156.78,Shopping,Target,debit
2025-04-10,-78.90,Groceries,Whole Foods,debit
2025-04-10,-45.67,Transportation,BP Station,debit
2025-04-10,-134.56,Groceries,Costco,debit
2025-04-11,-89.12,Entertainment,Spotify,debit
2025-04-11,-67.89,Dining,Olive Garden,debit
2025-04-11,1250.00,Freelance,Upwork Transfer,credit
2025-04-12,-245.67,Insurance,Geico,debit
2025-04-12,-78.90,Shopping,Walmart,debit
2025-04-12,-56.78,Groceries,Safeway,debit
2025-04-13,-112.34,Transportation,EV Charging Co,debit
2025-04-13,-89.12,Dining,Chick-fil-A,debit
2025-04-13,-167.89,Utilities,City Water,debit
2025-04-14,-45.67,Healthcare,CVS Pharmacy,debit
2025-04-14,-134.56,Groceries,Kroger,debit
2025-04-14,175.00,Refund,Insurance Reimbursement,credit
2025-04-15,4250.00,Salary,Employer Direct Deposit,credit
2025-04-15,-78.90,Shopping,Nordstrom,debit
2025-04-15,-89.12,Dining,Subway,debit
2025-04-16,-56.78,Groceries,Aldi,debit
2025-04-16,-189.12,Shopping,Home Depot,debit
2025-04-16,-34.56,Entertainment,AMC Theaters,debit
2025-04-17,-112.34,Transportation,Metro Transit,debit
2025-04-17,-78.90,Groceries,Publix,debit
2025-04-17,-145.67,Healthcare,Walgreens,debit
2025-04-18,-67.89,Dining,Chipotle,debit
2025-04-18,-89.12,Utilities,AT&T Wireless,debit
2025-04-18,675.00,Investment,Capital Gains,credit
2025-04-19,-134.56,Groceries,Trader Joe's,debit
2025-04-19,-56.78,Transportation,Lyft,debit
2025-04-19,-234.56,Shopping,Amazon,debit
2025-04-20,-78.90,Dining,Starbucks,debit
2025-04-20,-45.67,Insurance,Progressive,debit
2025-04-20,-112.34,Groceries,Whole Foods,debit
2025-04-21,-89.12,Shopping,IKEA,debit
2025-04-21,-23.45,Subscriptions,Dropbox,debit
2025-04-21,-167.89,Healthcare,Quest Diagnostics,debit
2025-04-22,-56.78,Dining,Five Guys,debit
2025-04-22,-1850.00,Rent,Greenfield Apartments,debit
2025-04-22,-78.90,Groceries,Costco,debit
2025-04-23,5100.00,Salary,Payroll Services Inc,credit
2025-04-23,-134.56,Transportation,Shell Gas,debit
2025-04-23,-89.12,Shopping,Target,debit
2025-04-24,-45.67,Dining,Panera Bread,debit
2025-04-24,-112.34,Groceries,Safeway,debit
2025-04-24,-78.90,Utilities,Verizon,debit
2025-04-25,-67.89,Entertainment,Steam,debit
2025-04-25,-156.78,Shopping,Best Buy,debit
2025-04-25,1650.00,Freelance,Client Payment,credit
2025-04-26,-89.12,Groceries,Kroger,debit
2025-04-26,-45.67,Dining,Olive Garden,debit
2025-04-26,-234.56,Healthcare,Anthem Insurance,debit
2025-04-27,-78.90,Transportation,Uber,debit
2025-04-27,-134.56,Groceries,Aldi,debit
2025-04-27,-56.78,Utilities,Waste Management,debit
2025-04-28,-89.12,Insurance,Allstate,debit
2025-04-28,-112.34,Shopping,Walmart,debit
2025-04-28,-45.67,Dining,Chick-fil-A,debit
2025-04-29,-167.89,Groceries,Publix,debit
2025-04-29,-78.90,Transportation,Chevron,debit
2025-04-29,350.00,Investment,REIT Distribution,credit
2025-04-30,-56.78,Dining,Subway,debit
2025-04-30,-89.12,Shopping,Nordstrom,debit
2025-04-30,-9.99,Subscriptions,NYT Digital,debit
2025-05-01,4250.00,Salary,Employer Direct Deposit,credit
2025-05-01,-134.56,Groceries,Trader Joe's,debit
2025-05-01,-78.90,Dining,Chipotle,debit
2025-05-02,-112.34,Healthcare,CVS Pharmacy,debit
2025-05-02,-45.67,Transportation,Shell Gas,debit
2025-05-02,-189.12,Shopping,Amazon,debit
2025-05-03,-89.12,Groceries,Whole Foods,debit
2025-05-03,-56.78,Entertainment,Netflix,debit
2025-05-03,-145.67,Utilities,Pacific Gas & Electric,debit
2025-05-04,-78.90,Dining,Starbucks,debit
2025-05-04,-234.56,Insurance,Liberty Mutual,debit
2025-05-04,800.00,Freelance,Consulting Fee,credit
2025-05-05,-1850.00,Rent,Urban Living Co,debit
2025-05-05,-112.34,Groceries,Costco,debit
2025-05-05,-67.89,Shopping,Target,debit
2025-05-06,-89.12,Transportation,Uber,debit
2025-05-06,-45.67,Dining,Five Guys,debit
2025-05-06,-156.78,Healthcare,Walgreens,debit
2025-05-07,-78.90,Groceries,Safeway,debit
2025-05-07,5100.00,Salary,Payroll Services Inc,credit
2025-05-07,-134.56,Shopping,Home Depot,debit
2025-05-08,-56.78,Dining,Panera Bread,debit
2025-05-08,-89.12,Transportation,BP Station,debit
2025-05-08,-167.89,Utilities,Comcast Internet,debit
2025-05-09,-112.34,Groceries,Kroger,debit
2025-05-09,-78.90,Entertainment,Spotify,debit
2025-05-09,-45.67,Dining,Olive Garden,debit
2025-05-10,-134.56,Shopping,IKEA,debit
2025-05-10,-89.12,Insurance,State Farm,debit
2025-05-10,500.00,Investment,Dividend Payment,credit
2025-05-11,-56.78,Groceries,Aldi,debit
2025-05-11,-178.90,Healthcare,Kaiser Permanente,debit
2025-05-11,-34.56,Subscriptions,Adobe Creative,debit
2025-05-12,-89.12,Dining,Chick-fil-A,debit
2025-05-12,-145.67,Groceries,Publix,debit
2025-05-12,-67.89,Transportation,Lyft,debit
2025-05-13,-78.90,Shopping,Best Buy,debit
2025-05-13,-234.56,Utilities,City Water,debit
2025-05-13,1100.00,Freelance,Upwork Transfer,credit
2025-05-14,-112.34,Groceries,Trader Joe's,debit
2025-05-14,-56.78,Dining,Subway,debit
2025-05-14,-89.12,Healthcare,CVS Pharmacy,debit
2025-05-15,4250.00,Salary,Employer Direct Deposit,credit
2025-05-15,-134.56,Transportation,EV Charging Co,debit
2025-05-15,-78.90,Shopping,Walmart,debit
2025-05-16,-45.67,Dining,Chipotle,debit
2025-05-16,-89.12,Groceries,Whole Foods,debit
2025-05-16,-167.89,Insurance,Geico,debit
2025-05-17,-56.78,Entertainment,AMC Theaters,debit
2025-05-17,-112.34,Shopping,Nordstrom,debit
2025-05-17,-78.90,Groceries,Costco,debit
2025-05-18,-134.56,Healthcare,Walgreens,debit
2025-05-18,-45.67,Dining,Starbucks,debit
2025-05-18,250.00,Refund,Amazon Refund,credit
2025-05-19,-89.12,Transportation,Shell Gas,debit
2025-05-19,-156.78,Utilities,AT&T Wireless,debit
2025-05-19,-67.89,Groceries,Safeway,debit
2025-05-20,-78.90,Dining,Five Guys,debit
2025-05-20,-234.56,Shopping,Amazon,debit
2025-05-20,-112.34,Insurance,Progressive,debit
2025-05-21,5100.00,Salary,Payroll Services Inc,credit
2025-05-21,-89.12,Groceries,Kroger,debit
2025-05-21,-145.67,Healthcare,Quest Diagnostics,debit
2025-05-22,-56.78,Dining,Panera Bread,debit
2025-05-22,-1850.00,Rent,Property Management LLC,debit
2025-05-22,-78.90,Transportation,Metro Transit,debit
2025-05-23,-134.56,Groceries,Aldi,debit
2025-05-23,950.00,Investment,Bond Interest,credit
2025-05-23,-89.12,Shopping,Target,debit
2025-05-24,-67.89,Dining,Olive Garden,debit
2025-05-24,-45.67,Entertainment,PlayStation Store,debit
2025-05-24,-112.34,Groceries,Publix,debit
2025-05-25,-78.90,Transportation,Uber,debit
2025-05-25,-189.12,Utilities,Verizon,debit
2025-05-25,-56.78,Shopping,Home Depot,debit
2025-05-26,-89.12,Dining,Chick-fil-A,debit
2025-05-26,-134.56,Groceries,Trader Joe's,debit
2025-05-26,-23.45,Subscriptions,Microsoft 365,debit
2025-05-27,-78.90,Healthcare,Anthem Insurance,debit
2025-05-27,1350.00,Freelance,Contract Work,credit
2025-05-27,-167.89,Shopping,IKEA,debit
2025-05-28,-56.78,Dining,Subway,debit
2025-05-28,-112.34,Groceries,Whole Foods,debit
2025-05-28,-89.12,Transportation,Chevron,debit
2025-05-29,-45.67,Insurance,Allstate,debit
2025-05-29,-134.56,Utilities,Waste Management,debit
2025-05-29,-78.90,Groceries,Costco,debit
2025-05-30,-89.12,Dining,Chipotle,debit
2025-05-30,-56.78,Shopping,Walmart,debit
2025-05-30,-234.56,Healthcare,CVS Pharmacy,debit
2025-05-31,-112.34,Groceries,Safeway,debit
2025-05-31,-67.89,Transportation,Lyft,debit
2025-05-31,425.00,Investment,Capital Gains,credit
2025-06-01,4250.00,Salary,Employer Direct Deposit,credit
2025-06-01,-78.90,Groceries,Kroger,debit
2025-06-01,-145.67,Shopping,Best Buy,debit
2025-06-02,-89.12,Dining,Starbucks,debit
2025-06-02,-56.78,Entertainment,Netflix,debit
2025-06-02,-134.56,Groceries,Aldi,debit
2025-06-03,-112.34,Insurance,Liberty Mutual,debit
2025-06-03,-78.90,Transportation,Shell Gas,debit
2025-06-03,-45.67,Healthcare,Walgreens,debit
2025-06-04,-167.89,Utilities,Pacific Gas & Electric,debit
2025-06-04,-89.12,Dining,Five Guys,debit
2025-06-04,725.00,Freelance,Client Payment,credit
2025-06-05,-1850.00,Rent,Greenfield Apartments,debit
2025-06-05,-134.56,Groceries,Publix,debit
2025-06-05,-56.78,Shopping,Target,debit
2025-06-06,-78.90,Dining,Panera Bread,debit
2025-06-06,-89.12,Transportation,Uber,debit
2025-06-06,-112.34,Groceries,Trader Joe's,debit
2025-06-07,5100.00,Salary,Payroll Services Inc,credit
2025-06-07,-67.89,Shopping,Nordstrom,debit
2025-06-07,-45.67,Healthcare,Kaiser Permanente,debit
2025-06-08,-134.56,Groceries,Whole Foods,debit
2025-06-08,-23.45,Subscriptions,Dropbox,debit
2025-06-08,-189.12,Utilities,Comcast Internet,debit
2025-06-09,-89.12,Dining,Olive Garden,debit
2025-06-09,-78.90,Transportation,BP Station,debit
2025-06-09,-56.78,Entertainment,Spotify,debit
2025-06-10,-112.34,Insurance,State Farm,debit
2025-06-10,-234.56,Shopping,Amazon,debit
2025-06-10,300.00,Refund,Store Credit Return,credit
2025-06-11,-145.67,Groceries,Costco,debit
2025-06-11,-67.89,Dining,Chick-fil-A,debit
2025-06-11,-78.90,Healthcare,CVS Pharmacy,debit
2025-06-12,-89.12,Transportation,EV Charging Co,debit
2025-06-12,-134.56,Shopping,Home Depot,debit
2025-06-12,-56.78,Groceries,Safeway,debit
2025-06-13,-112.34,Dining,Subway,debit
2025-06-13,-167.89,Utilities,City Water,debit
2025-06-13,1200.00,Freelance,Consulting Fee,credit
2025-06-14,-78.90,Groceries,Kroger,debit
2025-06-14,-89.12,Insurance,Geico,debit
2025-06-14,-45.67,Shopping,IKEA,debit
2025-06-15,4250.00,Salary,Employer Direct Deposit,credit
2025-06-15,-134.56,Transportation,Metro Transit,debit
2025-06-15,-56.78,Dining,Chipotle,debit
2025-06-16,-112.34,Groceries,Aldi,debit
2025-06-16,-89.12,Healthcare,Walgreens,debit
2025-06-16,-78.90,Shopping,Walmart,debit
2025-06-17,-145.67,Dining,Starbucks,debit
2025-06-17,-67.89,Entertainment,AMC Theaters,debit
2025-06-17,675.00,Investment,REIT Distribution,credit
2025-06-18,-89.12,Groceries,Publix,debit
2025-06-18,-134.56,Transportation,Lyft,debit
2025-06-18,-234.56,Shopping,Best Buy,debit
2025-06-19,-78.90,Dining,Five Guys,debit
2025-06-19,-56.78,Utilities,AT&T Wireless,debit
2025-06-19,-112.34,Groceries,Trader Joe's,debit
2025-06-20,-89.12,Healthcare,Quest Diagnostics,debit
2025-06-20,-45.67,Subscriptions,LinkedIn Premium,debit
2025-06-20,-167.89,Shopping,Nordstrom,debit
2025-06-21,5100.00,Salary,Payroll Services Inc,credit
2025-06-21,-134.56,Groceries,Whole Foods,debit
2025-06-21,-78.90,Dining,Panera Bread,debit
2025-06-22,-1850.00,Rent,Urban Living Co,debit
2025-06-22,-89.12,Insurance,Progressive,debit
2025-06-22,-56.78,Transportation,Shell Gas,debit
2025-06-23,-112.34,Groceries,Costco,debit
2025-06-23,-45.67,Dining,Olive Garden,debit
2025-06-23,-78.90,Shopping,Target,debit
2025-06-24,-134.56,Utilities,Verizon,debit
2025-06-24,-89.12,Healthcare,Anthem Insurance,debit
2025-06-24,1500.00,Freelance,Upwork Transfer,credit
2025-06-25,-67.89,Transportation,Uber,debit
2025-06-25,-156.78,Groceries,Safeway,debit
