date,open,high,low,close,volume
2025-08-21,231.12,232.78,229.89,230.45,3567800
2025-08-22,230.45,231.89,229.12,231.23,4891200
2025-08-25,231.23,232.67,230.12,231.78,3234500
2025-08-26,231.78,233.45,230.56,232.34,5412300
2025-08-27,232.34,233.89,231.12,232.89,4567800
2025-08-28,232.89,234.23,231.67,233.45,3891200
2025-08-29,233.45,234.78,232.12,233.12,4234500
2025-09-01,233.12,234.56,231.89,234.23,5123400
2025-09-02,234.23,235.67,233.12,234.89,3567800
2025-09-03,234.89,236.23,233.56,235.45,4891200
2025-09-04,235.45,236.89,234.23,235.12,3234500
2025-09-05,235.12,236.45,233.89,234.56,5678900
2025-09-08,234.56,236.12,233.34,235.34,4123400
2025-09-09,235.34,237.23,234.12,236.45,3567800
2025-09-10,236.45,237.89,235.23,236.12,4891200
2025-09-11,236.12,237.56,234.89,237.23,3234500
2025-09-12,237.23,238.67,236.12,237.89,5412300
2025-09-15,237.89,239.23,236.56,238.34,4567800
2025-09-16,238.34,239.78,237.12,238.89,3891200
2025-09-17,238.89,240.23,237.56,239.45,4234500
2025-09-18,239.45,240.89,238.23,239.12,5123400
2025-09-19,239.12,240.56,237.89,240.23,3567800
2025-09-22,240.23,241.67,239.12,240.89,4891200
2025-09-23,240.89,242.23,239.56,241.34,3234500
2025-09-24,241.34,242.78,240.12,241.89,5678900
2025-09-25,241.89,243.23,240.67,242.45,4123400
2025-09-26,242.45,243.78,241.12,241.89,3567800
2025-09-29,241.89,243.23,240.56,242.67,4891200
2025-09-30,242.67,244.12,241.45,243.23,3234500
2025-10-01,243.23,244.56,242.12,243.78,5412300
2025-10-02,243.78,245.23,242.45,244.34,4567800
2025-10-03,244.34,245.89,243.12,244.89,3891200
2025-10-06,244.89,246.23,243.56,245.34,4234500
2025-10-07,245.34,246.78,244.12,244.67,5123400
2025-10-08,244.67,246.12,243.34,245.56,3567800
2025-10-09,245.56,247.23,244.34,246.34,4891200
2025-10-10,246.34,247.89,245.12,246.89,3234500
2025-10-13,246.89,248.23,245.56,247.45,5678900
2025-10-14,247.45,248.89,246.12,247.12,4123400
2025-10-15,247.12,248.56,245.89,248.23,3567800
2025-10-16,248.23,249.67,247.12,248.89,4891200
2025-10-17,248.89,250.23,247.56,249.34,3234500
2025-10-20,249.34,250.78,248.12,249.89,5412300
2025-10-21,249.89,251.23,248.56,250.45,4567800
2025-10-22,250.45,251.89,249.12,250.12,3891200
2025-10-23,250.12,251.56,248.89,251.23,4234500
2025-10-24,251.23,252.67,250.12,251.78,5123400
2025-10-27,251.78,253.12,250.45,252.34,3567800
2025-10-28,252.34,253.78,251.12,252.89,4891200
2025-10-29,252.89,254.23,251.56,253.45,3234500
2025-10-30,253.45,254.89,252.12,253.12,5678900
2025-10-31,253.12,254.56,251.89,254.23,4123400
2025-11-03,254.23,255.67,253.12,254.89,3567800
2025-11-04,254.89,256.23,253.56,255.34,4891200
2025-11-05,255.34,256.89,254.12,255.89,3234500
2025-11-06,255.89,257.23,254.56,256.45,5412300
2025-11-07,256.45,257.89,255.23,256.12,4567800
2025-11-10,256.12,257.56,254.89,257.23,3891200
2025-11-11,257.23,258.67,256.12,257.89,4234500
2025-11-12,257.89,259.23,256.56,258.34,5123400
2025-11-13,258.34,259.78,257.12,257.78,3567800
2025-11-14,257.78,259.23,256.45,258.56,4891200
2025-11-17,258.56,260.12,257.34,259.34,3234500
2025-11-18,259.34,260.78,258.12,259.89,5678900
2025-11-19,259.89,261.23,258.56,260.45,4123400
2025-11-20,260.45,261.89,259.12,260.12,3567800
2025-11-21,260.12,261.56,258.89,261.23,4891200
2025-11-24,261.23,262.67,260.12,261.78,3234500
2025-11-25,261.78,263.23,260.45,262.34,5412300
2025-11-26,262.34,263.78,261.12,262.89,4567800
2025-11-28,262.89,264.12,261.56,263.45,3891200
2025-12-01,263.45,264.89,262.23,264.12,4234500
2025-12-02,264.12,265.56,263.12,264.78,5123400
2025-12-03,264.78,266.12,263.45,265.34,3567800
2025-12-04,265.34,266.78,264.12,265.89,4891200
2025-12-05,265.89,267.23,264.56,266.34,3234500
2025-12-08,266.34,267.89,265.12,266.89,5678900
2025-12-09,266.89,268.23,265.56,267.45,4123400
2025-12-10,267.45,268.89,266.12,267.12,3567800
2025-12-11,267.12,268.56,265.89,268.23,4891200
2025-12-12,268.23,269.67,267.12,268.89,3234500
2025-12-15,268.89,270.23,267.56,269.34,5412300
2025-12-16,269.34,270.78,268.12,269.89,4567800
2025-12-17,269.89,271.23,268.56,270.45,3891200
2025-12-18,270.45,271.89,269.12,270.12,4234500
2025-12-19,270.12,271.56,268.89,271.23,5123400
2025-12-22,271.23,272.67,270.12,271.78,3567800
2025-12-23,271.78,273.12,270.45,272.34,4891200
2025-12-24,272.34,273.78,271.12,272.89,3234500
2025-12-26,272.89,274.12,271.45,273.45,5678900
2025-12-29,273.45,274.89,272.12,274.12,4123400
2025-12-30,274.12,275.56,273.12,274.78,3567800
2025-12-31,274.78,276.23,273.56,275.34,4891200
